,centro_nro_registro,centro_tipo,alergologia,cardiologia,cirugia_mayor_ambulatoria,cirugia_menor_ambulatoria,dermatologia,endocrinologia,enfermeria,farmacia,fisioterapia,medicina_general,neumologia,neurologia,nutricion_y_dietetica,oncologia,otorrinolaringologia,pediatria,psicologia_clinica,psiquiatria,rehabilitacion,reumatologia,urgencias,vacunacion,direccion_completa,direccion_vial_tipo,direccion_vial_nombre,direccion_vial_nro,direccion_codigo_postal,municipio_nombre,localizacion_coordenada_x,localizacion_coordenada_y
5589,CS6045,Consulta de otros profesionales sanitarios,,,,,,,,,CS6045,,,,,,,,,,,,,,Calle Juan Genovés 18 28521 Rivas-Vaciamadrid,Calle,Juan Genovés,18,28521.0,Rivas-Vaciamadrid,455836.0,4464856.0
5590,CS6055,Centro de salud mental,,,,,,,CS6055,,,CS6055,,,,,,,CS6055,CS6055,,,,,Calle del General Castaños 5 28004 Madrid,Calle,del General Castaños,5,28004.0,Madrid,441122.0,4475185.0
5591,CS6058,Centro de salud,,,,,,,CS6058,,,CS6058,,,,,,CS6058,,,,,,CS6058,Avda DE LA UNIÓN EUROPEA 4 28850 Torrejón de Ardoz,Avda,DE LA UNIÓN EUROPEA,4,28850.0,Torrejón de Ardoz,461626.0,4478652.0
5592,CS6062,Centro Polivalente,,,,CS6062,,,CS6062,,,,,,,,,,,,,,,,Calle de Oquendo 23 28006 Madrid,Calle,de Oquendo,23,28006.0,Madrid,442146.0,4476892.0
5593,CS6074,Consulta de otros profesionales sanitarios,,,,,,,,,CS6074,,,,,,,,,,,,,,Calle Argentina 13 28914 Leganés,Calle,Argentina,13,28914.0,Leganés,434678.0,4465862.0
5594,CS6079,Consulta de otros profesionales sanitarios,,,,,,,,,CS6079,,,,,,,,,,,,,,Calle de Suecia 37 28022 Madrid,Calle,de Suecia,37,28022.0,Madrid,448725.0,4475182.0
5595,CS6082,Centro de salud,,,,,,,CS6082,,,CS6082,,,,,,CS6082,,,,,,CS6082,Calle de Valle Inclán 97 28044 Madrid,Calle,de Valle Inclán,97,28044.0,Madrid,434241.0,4469801.0
5596,CS6083,Centro de salud,,,,,,,CS6083,,,CS6083,,,,,,CS6083,,,,,,CS6083,Calle de Cea Bermúdez 10 28003 Madrid,Calle,de Cea Bermúdez,10,28003.0,Madrid,440026.0,4476717.0
5597,CS6084,Centro Polivalente,,,,,,,,,CS6084,CS6084,,CS6084,,,,,,CS6084,CS6084,,,,Calle Zaragoza 6 28804 Alcalá de Henares,Calle,Zaragoza,6,28804.0,Alcalá de Henares,470623.0,4481613.0
5598,CS6085,Consulta de otros profesionales sanitarios,,,,,,,,,CS6085,,,,,,,,,,,,,,Calle de San José de Calasanz 38 28902 Getafe,Calle,de San José de Calasanz,38,28902.0,Getafe,438024.0,4462642.0
5599,CS6091,Centro Polivalente,,,,,,,CS6091,,CS6091,CS6091,,,,,,,,,,,,,Calle de Jorge Juan 141 28028 Madrid,Calle,de Jorge Juan,141,28028.0,Madrid,443352.0,4474922.0
5600,CS6097,Consulta de otros profesionales sanitarios,,,,,,,,,CS6097,,,,,,,,,,,,,,Calle del Labrador 12 28005 Madrid,Calle,del Labrador,12,28005.0,Madrid,440443.0,4472599.0
5601,CS6099,Consulta de otros profesionales sanitarios,,,,,,,,,CS6099,,,,,,,,,,,,,,Calle del Alcalde Sáinz de Baranda 40 28009 Madrid,Calle,del Alcalde Sáinz de Baranda,40,28009.0,Madrid,442906.0,4474213.0
5602,CS6101,Centro Polivalente,,,,,,,,,CS6101,CS6101,,,,,,,,,,,,,Calle Pintor el Greco 9 28933 Móstoles,Calle,Pintor el Greco,9,28933.0,Móstoles,426235.0,4464764.0
5603,CS6107,Consulta de otros profesionales sanitarios,,,,,,,,,CS6107,,,,,,,,,,,,,,Calle Loeches 4 28891 Velilla de San Antonio,Calle,Loeches,4,28891.0,Velilla de San Antonio,458805.0,4468750.0
5604,CS6108,Centro Polivalente,,,,,,,CS6108,,CS6108,CS6108,,,,,,,,,,,,,Calle del Collado de las Vertientes 3 28053 Madrid,Calle,del Collado de las Vertientes,3,28053.0,Madrid,443403.0,4471523.0
5605,CS6124,Consulta de otros profesionales sanitarios,,,,,,,,,CS6124,,,,,,,,,,,,,,Calle de Oslo 12 28022 Madrid,Calle,de Oslo,12,28022.0,Madrid,449018.0,4475105.0
5606,CS6129,Consulta de otros profesionales sanitarios,,,,,,,,,CS6129,,,,,,,,,,,,,,Calle de Géminis 24 28042 Madrid,Calle,de Géminis,24,28042.0,Madrid,450842.0,4480696.0
5607,CS6131,Otros centros especializados,,,,,,,CS6131,,,CS6131,,,,,,,,,,,,,Calle de Antonia Rodríguez Sacristán 8 28044 Madrid,Calle,de Antonia Rodríguez Sacristán,8,28044.0,Madrid,436722.0,4469386.0
5608,CS6136,Otros proveedores de asistencia sanitaria sin internamiento,,,,,,,CS6136,,CS6136,CS6136,,,,,,,,,,,,,Calle de Valverde de los Arroyos 13 28945 Fuenlabrada,Calle,de Valverde de los Arroyos,13,28945.0,Fuenlabrada,431809.0,4458532.0
5609,CS6137,Otros centros especializados,,,,,,,CS6137,,CS6137,CS6137,,,,,,,,,,,,,Calle San Vicente 7 (C/V C/ Bohime) 28901 Getafe,Calle,San Vicente,7 (C/V C/ Bohime),28901.0,Getafe,438319.0,4462026.0
5610,CS6146,Otros proveedores de asistencia sanitaria sin internamiento,,,,,,,,,CS6146,CS6146,,CS6146,,,,,,,,,,,Calle de Fermín Caballero 51 28034 Madrid,Calle,de Fermín Caballero,51,28034.0,Madrid,440119.0,4481744.0
5611,CS6151,Consulta de otros profesionales sanitarios,,,,,,,,,CS6151,,,,,,,,,,,,,,Calle de Soledad Cazorla 4 28044 Madrid,Calle,de Soledad Cazorla,4,28044.0,Madrid,434152.0,4469856.0
5612,CS6156,Consultorio de atención primaria,,,,,,,CS6156,,,CS6156,,,,,,CS6156,,,,,,CS6156,Calle Mayor 28 28810 Villalbilla,Calle,Mayor,28,28810.0,Villalbilla,470161.0,4477083.0
5613,CS6158,Centro de salud,,,,CS6158,,,CS6158,,,CS6158,,,,,,CS6158,,,,,,CS6158,Calle de Mirueña S/N 28024 Madrid,Calle,de Mirueña,S/N,28024.0,Madrid,-109.0,-208.0
5614,CS6166,Consulta de otros profesionales sanitarios,,,,,,,,,CS6166,,,,,,,,,,,,,,Avda de Daroca 72 28017 Madrid,Avda,de Daroca,72,28017.0,Madrid,444788.0,4475509.0
5615,CS6167,Consulta de otros profesionales sanitarios,,,,,,,,,CS6167,,,,,,,,,,,,,,Calle de San Benito 45 28029 Madrid,Calle,de San Benito,45,28029.0,Madrid,441071.0,4480207.0
5616,CS6181,Otros proveedores de asistencia sanitaria sin internamiento,,,,,,,,,CS6181,,,,,,,,,,CS6181,,,,Calle del Camino de los Vinateros 3 28030 Madrid,Calle,del Camino de los Vinateros,3,28030.0,Madrid,444102.0,4473607.0
5617,CS6190,Centro Polivalente,CS6190,,,,,CS6190,CS6190,,CS6190,CS6190,,,,,,CS6190,,CS6190,,,,,Calle de la Iglesia 18 28971 Griñón,Calle,de la Iglesia,18,28971.0,Griñón,427633.0,4451826.0
5618,CS6194,Consulta de otros profesionales sanitarios,,,,,,,,,CS6194,,,,,,,,,,,,,,Avda del Alcalde de Móstoles 9 28932 Móstoles,Avda,del Alcalde de Móstoles,9,28932.0,Móstoles,426940.0,4465102.0
5619,CS6201,Consulta médica,,,,,,,,,,CS6201,,,,,,,,,,,,,Calle de Claudio Coello 126 28006 Madrid,Calle,de Claudio Coello,126,28006.0,Madrid,441896.0,4476509.0
5620,CS6208,Centro de salud,,,,,,,CS6208,,CS6208,CS6208,,,,,,CS6208,,,,,,CS6208,Calle Vía Carpetana 202 28047 Madrid,Calle,Vía Carpetana,202,28047.0,Madrid,437409.0,4472038.0
5621,CS6210,Centro de salud,,,,,,,CS6210,,,CS6210,,,,,,CS6210,,,,,,CS6210,Calle de Guzmán el Bueno 11 28015 Madrid,Calle,de Guzmán el Bueno,11,28015.0,Madrid,439472.0,4475869.0
5622,CS6217,Servicio sanitario integrado en una organización no sanitaria,,,,,,,CS6217,,,,,,,,,,,,,,,,Polg  28813 Torres de la Alameda,Polg,,,28813.0,Torres de la Alameda,468433.0,4473168.0
5623,CS6220,Otros proveedores de asistencia sanitaria sin internamiento,,,,,,,,,,CS6220,,,,,,,,,,,,,Calle de Bravo Murillo 153 28020 Madrid,Calle,de Bravo Murillo,153,28020.0,Madrid,440345.0,4478110.0
5624,CS6221,Centro Polivalente,,CS6221,,,,,,,CS6221,,,,,,,,,,CS6221,,,,Paseo de la Castellana 121 28046 Madrid,Paseo,de la Castellana,121,28046.0,Madrid,441439.0,4478799.0
5625,CS6223,Centro de salud,,,,,,,CS6223,,,CS6223,,,,,,CS6223,,,,,,CS6223,Calle de Segovia 4 28005 Madrid,Calle,de Segovia,4,28005.0,Madrid,439770.0,4473918.0
5626,CS6227,Consulta de otros profesionales sanitarios,,,,,,,,,CS6227,,,,,,,,,,,,,,Calle del Cabo San Vicente 16 28924 Alcorcón,Calle,del Cabo San Vicente,16,28924.0,Alcorcón,430852.0,4467143.0
5627,CS6230,Otros centros especializados,,,,,,,CS6230,,,CS6230,,,,,,,,,,,,,Paseo de las Acacias 30 28005 Madrid,Paseo,de las Acacias,30,28005.0,Madrid,439779.0,4472796.0
5628,CS6237,Centro Polivalente,,CS6237,,,,,CS6237,,CS6237,CS6237,,CS6237,,,,CS6237,,,,,,,Calle del Príncipe de Vergara 13 28001 Madrid,Calle,del Príncipe de Vergara,13,28001.0,Madrid,442275.0,4475067.0
5629,CS6240,Servicio sanitario integrado en una organización no sanitaria,,,,,,,CS6240,,CS6240,CS6240,,,,,,,CS6240,,,,,,Avda del Doctor Federico Rubio y Galí 84 28040 Madrid,Avda,del Doctor Federico Rubio y Galí,84,28040.0,Madrid,439442.0,4478497.0
5630,CS6254,Consulta de otros profesionales sanitarios,,,,,,,,,CS6254,,,,,,,,,,,,,,Calle de Postas 63 28300 Aranjuez,Calle,de Postas,63,28300.0,Aranjuez,448409.0,4431252.0
5631,CS6255,Otros centros especializados,,,,,,,CS6255,,CS6255,CS6255,,,,,,,,,,,,,Calle Camino Viejo de Pinto 19 28903 Getafe,Calle,Camino Viejo de Pinto,19,28903.0,Getafe,439575.0,4462500.0
5632,CS6256,Centro de salud,,,,,,,CS6256,,,CS6256,,,,,,CS6256,,,,,,CS6256,Calle de Mariano Vela 62 28026 Madrid,Calle,de Mariano Vela,62,28026.0,Madrid,439752.0,4470333.0
5633,CS6264,Consulta de otros profesionales sanitarios,,,,,,,,,CS6264,,,,,,,,,,,,,,Calle Andalucía 16 28850 Torrejón de Ardoz,Calle,Andalucía,16,28850.0,Torrejón de Ardoz,461004.0,4479096.0
5634,CS6267,Consulta de otros profesionales sanitarios,,,,,,,,,CS6267,,,,,,,,,,,,,,Calle la Higuera 8 28922 Alcorcón,Calle,la Higuera,8,28922.0,Alcorcón,429733.0,4465530.0
5635,CS6269,Centro de salud,,,,,,,CS6269,,CS6269,CS6269,,,,,,CS6269,,,,,,CS6269,Calle de Aquitania 22 28032 Madrid,Calle,de Aquitania,22,28032.0,Madrid,447603.0,4474416.0
5636,CS6271,Consulta de otros profesionales sanitarios,,,,,,,,,CS6271,,,,,,,,,,,,,,Sect Foresta 31 28760 Tres Cantos,Sect,Foresta,31,28760.0,Tres Cantos,439855.0,4495648.0
5637,CS6281,Consulta de otros profesionales sanitarios,,,,,,,,,CS6281,,,,,,,,,,,,,,Calle de Luchana 29 28010 Madrid,Calle,de Luchana,29,28010.0,Madrid,440726.0,4475926.0
5638,CS6283,Consulta médica,,,,,,,,,,CS6283,,,,,,,,,,,,,Calle los Nardos 87 28925 Alcorcón,Calle,los Nardos,87,28925.0,Alcorcón,431590.0,4467624.0
5639,CS6288,Consulta de otros profesionales sanitarios,,,,,,,,,CS6288,,,,,,,,,,,,,,Calle de Federico García Lorca 2 28770 Colmenar Viejo,Calle,de Federico García Lorca,2,28770.0,Colmenar Viejo,435673.0,4501274.0
5640,CS6292,Consulta de otros profesionales sanitarios,,,,,,,,,CS6292,,,,,,,,,,,,,,Calle de los Arces 25 28922 Alcorcón,Calle,de los Arces,25,28922.0,Alcorcón,429756.0,4465581.0
5641,CS6295,Consulta médica,,,,,,,,,,CS6295,,,,,,,,,,,,,Avda del Doctor Federico Rubio y Galí 108 28040 Madrid,Avda,del Doctor Federico Rubio y Galí,108,28040.0,Madrid,439520.0,4478685.0
5642,CS6297,Consulta de otros profesionales sanitarios,,,,,,,,,CS6297,,,,,,,,,,,,,,Calle Empecinado 58 28936 Móstoles,Calle,Empecinado,58,28936.0,Móstoles,427504.0,4463749.0
5643,CS6303,Consulta de otros profesionales sanitarios,,,,,,,,,CS6303,,,,,,,,,,,,,,Calle de Cardenal Tavera 3 28050 Madrid,Calle,de Cardenal Tavera,3,28050.0,Madrid,444110.0,4482875.0
5644,CS6304,Otros centros especializados,,,,CS6304,,,CS6304,,,CS6304,,,,,,,,,,,,,Paseo de la Castellana 155 28046 Madrid,Paseo,de la Castellana,155,28046.0,Madrid,441461.0,4479175.0
5645,CS6307,Consulta de otros profesionales sanitarios,,,,,,,,,CS6307,,,,,,,,,,,,,,Calle EMPECINADO 14.0 28937 Móstoles,Calle,EMPECINADO,14.0,28937.0,Móstoles,426936.0,4463901.0
5646,CS6308,Consulta de otros profesionales sanitarios,,,,,,,,,CS6308,,,,,,,,,,,,,,"Calle Comunidad de Andalucía 33 28231 Rozas de Madrid, Las",Calle,Comunidad de Andalucía,33,28231.0,"Rozas de Madrid, Las",424550.0,4482418.0
5647,CS6321,Otros centros especializados,,,,,,,CS6321,,CS6321,CS6321,,,,,,,,,CS6321,,,,Calle del Coto de Doñana 18 28320 Pinto,Calle,del Coto de Doñana,18,28320.0,Pinto,440563.0,4457449.0
5648,CS6322,Centro de salud,,,,,,,CS6322,,CS6322,CS6322,,,,,,CS6322,,,,,,CS6322,Avda Rigoberta Menchú 2 28903 Getafe,Avda,Rigoberta Menchú,2,28903.0,Getafe,439166.0,4463792.0
5649,CS6323,Consulta médica,,,,,,,,,,CS6323,,,,,,,,,,,,,Calle de San Leopoldo 52 28029 Madrid,Calle,de San Leopoldo,52,28029.0,Madrid,441252.0,4480182.0
5650,CS6326,Otros proveedores de asistencia sanitaria sin internamiento,,,,,,,,,,CS6326,,,,,,,,,,,,,Calle de los Cedros 5 28029 Madrid,Calle,de los Cedros,5,28029.0,Madrid,441278.0,4479850.0
5651,CS6327,Otros proveedores de asistencia sanitaria sin internamiento,,,,,,,,,,,,,,,,CS6327,,,,,,,Plaza de Peña Horcajo 7 28035 Madrid,Plaza,de Peña Horcajo,7,28035.0,Madrid,438850.0,4481791.0
5652,CS6331,Otros proveedores de asistencia sanitaria sin internamiento,,,,,,,,,CS6331,CS6331,,,,,,,,,,,,,Avda del Ejército 3 28500 Arganda del Rey,Avda,del Ejército,3,28500.0,Arganda del Rey,462368.0,4461275.0
5653,CS6337,Otros centros especializados,,,,,,,,,CS6337,,,,,,,,,,CS6337,,,,Calle de O'Donnell 20 28009 Madrid,Calle,de O'Donnell,20,28009.0,Madrid,442580.0,4474751.0
5654,CS6343,Consulta médica,,,,,,,CS6343,,CS6343,CS6343,,,,,,,,,,,,,Calle de San Cugat del Vallés S/N 28034 Madrid,Calle,de San Cugat del Vallés,S/N,28034.0,Madrid,440986.0,4483151.0
5655,CS6349,Centro Polivalente,,,,,,,CS6349,,,CS6349,,,,,,,,,,,,,Calle Aquilón 2 28223 Pozuelo de Alarcón,Calle,Aquilón,2,28223.0,Pozuelo de Alarcón,432384.0,4473595.0
5656,CS6350,Consulta de otros profesionales sanitarios,,,,,,,,,CS6350,,,,,,,,,,,,,,Calle de Menorca 45 28009 Madrid,Calle,de Menorca,45,28009.0,Madrid,442853.0,4474526.0
5657,CS6352,Otros centros especializados,,,,,,,CS6352,,,,,,,,,,,,,,,,Calle de Santoña 35 28026 Madrid,Calle,de Santoña,35,28026.0,Madrid,439440.0,4470385.0
5658,CS6355,Otros proveedores de asistencia sanitaria sin internamiento,,,,,,,,,CS6355,,,,,,,,,,,,,,Calle Referendum de Viña Grande 26 28925 Alcorcón,Calle,Referendum de Viña Grande,26,28925.0,Alcorcón,431932.0,4467048.0
5659,CS6358,Consulta de otros profesionales sanitarios,,,,,,,,,CS6358,,,,,,,,,,,,,,Calle del Pez Austral 12 28007 Madrid,Calle,del Pez Austral,12,28007.0,Madrid,443463.0,4473723.0
5660,CS6359,Centro Polivalente,,,,,,,,,,CS6359,,,,,,,,,,,,,Calle del Duque de Medinaceli 12 28014 Madrid,Calle,del Duque de Medinaceli,12,28014.0,Madrid,440960.0,4474007.0
5661,CS6363,Consulta médica,,,,,,,,,,,,,,,,,,CS6363,,,,,Paseo de la Habana 48 28036 Madrid,Paseo,de la Habana,48,28036.0,Madrid,441732.0,4477968.0
5662,CS6365,Consulta de otros profesionales sanitarios,,,,,,,CS6365,,,,,,,,,,,,,,,,Calle la Venta 43 28400 Collado Villalba,Calle,la Venta,43,28400.0,Collado Villalba,414711.0,4498351.0
5663,CS6373,Consulta de otros profesionales sanitarios,,,,,,,,,CS6373,CS6373,,,,,,,,,,,,,Calle de Juan Duque 27 28005 Madrid,Calle,de Juan Duque,27,28005.0,Madrid,439024.0,4473648.0
5664,CS6391,Consulta de otros profesionales sanitarios,,,,,,,,,CS6391,,,,,,,,,,,,,,Calle de Ercilla 19 28005 Madrid,Calle,de Ercilla,19,28005.0,Madrid,440386.0,4472681.0
5665,CS6392,Otros proveedores de asistencia sanitaria sin internamiento,,,,,,,,,,CS6392,,,,,,,,CS6392,,,,,Avda de Pío XII 57 28016 Madrid,Avda,de Pío XII,57,28016.0,Madrid,442714.0,4479760.0
5666,CS6399,Consulta médica,,,,,CS6399,,,,,,,,,,,,,,,,,,Paseo de San Francisco de Sales 36 28003 Madrid,Paseo,de San Francisco de Sales,36,28003.0,Madrid,439524.0,4477064.0
5667,CS6400,Consulta médica,,,,,,CS6400,,,,,,,,,,,,,,,,,Calle de las Canarias 10-12 28045 Madrid,Calle,de las Canarias,10-12,28045.0,Madrid,440850.0,4472606.0
5668,CS6410,Otros centros especializados,,,,,,,CS6410,,,CS6410,,,,,,,CS6410,,,,,,Plaza Príncipe de España S/N 28400 Collado Villalba,Plaza,Príncipe de España,S/N,28400.0,Collado Villalba,414719.0,4498044.0
5669,CS6411,Otros centros especializados,,,,,,,CS6411,,CS6411,CS6411,,,,,,,,,CS6411,,,,Calle del Río Bullaque 1 28034 Madrid,Calle,del Río Bullaque,1,28034.0,Madrid,440699.0,4482205.0
5670,CS6413,Consulta de otros profesionales sanitarios,,,,,,,,,CS6413,,,,,,,,,,,,,,Calle de Meléndez Valdés 39 28015 Madrid,Calle,de Meléndez Valdés,39,28015.0,Madrid,439470.0,4476054.0
5671,CS6421,Centro Polivalente,,,,,CS6421,CS6421,,,,CS6421,,,,,,,,,,,,,Calle ANA DE AUSTRIA 47 28050 Madrid,Calle,ANA DE AUSTRIA,47,28050.0,Madrid,444438.0,4483090.0
5672,CS6424,Consulta de otros profesionales sanitarios,,,,,,,,,CS6424,,,,,,,,,,,,,,Plaza de Mariana Pineda 3 28038 Madrid,Plaza,de Mariana Pineda,3,28038.0,Madrid,444289.0,4471536.0
5673,CS6426,Centro Polivalente,,,,,,,CS6426,,CS6426,CS6426,,,,,,,,,CS6426,,,,Avda de Tenerife 20 28700 San Sebastián de los Reyes,Avda,de Tenerife,20,28700.0,San Sebastián de los Reyes,447576.0,4490194.0
5674,CS6428,Consulta de otros profesionales sanitarios,,,,,,,,,CS6428,,,,,,,,,,,,,,Calle de Arturo Soria 27 28027 Madrid,Calle,de Arturo Soria,27,28027.0,Madrid,445663.0,4476924.0
5675,CS6430,Consulta de otros profesionales sanitarios,,,,,,,CS6430,,,,,,,,,,,,,,,,Calle de Quero 99 28024 Madrid,Calle,de Quero,99,28024.0,Madrid,435405.0,4471227.0
5676,CS6434,Consulta de otros profesionales sanitarios,,,,,,,,,CS6434,,,,,,,,,,,,,,Calle del Doctor Fleming 48 28036 Madrid,Calle,del Doctor Fleming,48,28036.0,Madrid,441704.0,4479222.0
5677,CS6435,Consulta de otros profesionales sanitarios,,,,,,,,,CS6435,,,,,,,,,,,,,,Plaza de Escandinavia 1 28942 Fuenlabrada,Plaza,de Escandinavia,1,28942.0,Fuenlabrada,431488.0,4460372.0
5678,CS6437,Consulta médica,,,,,,,,,,,,,,,,,,CS6437,,,,,Calle de Gaztambide 17 28015 Madrid,Calle,de Gaztambide,17,28015.0,Madrid,439286.0,4475981.0
5679,CS6440,Consulta médica,,,,,,,,,,CS6440,,,,,,CS6440,,,,,,,Calle Honorio Lozano 29 28400 Collado Villalba,Calle,Honorio Lozano,29,28400.0,Collado Villalba,415137.0,4498212.0
5680,CS6441,Servicio sanitario integrado en una organización no sanitaria,,,,,,,,,,CS6441,,,,,,,,,,,,,Calle Francisco Alonso 7 28806 Alcalá de Henares,Calle,Francisco Alonso,7,28806.0,Alcalá de Henares,466936.0,4482090.0
5681,CS6448,Centro Polivalente,,,,,CS6448,,,,,CS6448,,,,,,CS6448,,,,,,,Calle PALAS DE REY 28-30 28050 Madrid,Calle,PALAS DE REY,28-30,28050.0,Madrid,443513.0,4484234.0
5682,CS6449,Consulta de otros profesionales sanitarios,,,,,,,,,,,,,,,,,CS6449,,,,,,Calle Ajalvir 3 28850 Torrejón de Ardoz,Calle,Ajalvir,3,28850.0,Torrejón de Ardoz,459247.0,4479057.0
5683,CS6451,Consulta médica,,,,,,,,,,,,,,,CS6451,,,,,,,,Calle del Príncipe de Vergara 211 28002 Madrid,Calle,del Príncipe de Vergara,211,28002.0,Madrid,442514.0,4478047.0
5684,CS6458,Centro Polivalente,,,,,,,,,CS6458,CS6458,,,,,,,,CS6458,CS6458,,,,Calle de Ardemáns 8 28028 Madrid,Calle,de Ardemáns,8,28028.0,Madrid,443087.0,4476051.0
5685,CS6459,Consulta de otros profesionales sanitarios,,,,,,,,,CS6459,,,,,,,,,,,,,,Avda Reyes Católicos 6 28220 Majadahonda,Avda,Reyes Católicos,6,28220.0,Majadahonda,426066.0,4480835.0
5686,CS6460,Otros proveedores de asistencia sanitaria sin internamiento,,,,,,,,,CS6460,CS6460,,,,,,,,,,,,,Calle Poitiers 3 28820 Coslada,Calle,Poitiers,3,28820.0,Coslada,451843.0,4474617.0
5687,CS6461,Otros proveedores de asistencia sanitaria sin internamiento,,,,,,,,,CS6461,,,,,,,,,,,,,,Calle Almendros 3 28820 Coslada,Calle,Almendros,3,28820.0,Coslada,452333.0,4475723.0
5688,CS6470,Consulta médica,,,,,,,,,,CS6470,,,,,,,,,,,,,Calle del Doctor Esquerdo 112 28007 Madrid,Calle,del Doctor Esquerdo,112,28007.0,Madrid,443125.0,4473362.0
5689,CS6472,Centro de reconocimiento,,,,,,,,,,CS6472,,,,,,,CS6472,,,,,,Calle del Foso 92 28300 Aranjuez,Calle,del Foso,92,28300.0,Aranjuez,448939.0,4431409.0
5690,CS6478,Centro Polivalente,,,,,,,,,CS6478,CS6478,,,,,,CS6478,,,,,,,Calle del Paular 6 28791 Soto del Real,Calle,del Paular,6,28791.0,Soto del Real,433574.0,4511753.0
5691,CS6482,Consulta de otros profesionales sanitarios,,,,,,,,,CS6482,,,,,,,,,,,,,,Calle Ordóñez 38 28911 Leganés,Calle,Ordóñez,38,28911.0,Leganés,434678.0,4464704.0
5692,CS6489,Servicio sanitario integrado en una organización no sanitaria,,,,,,,CS6489,,,CS6489,,,,,,,,,,,,,Ctra de Torrejón KM.3.5 28864 Ajalvir,Ctra,de Torrejón,KM.3.5,28864.0,Ajalvir,459346.0,4483105.0
5693,CS6494,Centro de salud,,,,CS6494,,,CS6494,,CS6494,CS6494,,,,,,CS6494,,,,,,CS6494,Calle de Vicente Muzas 8 28043 Madrid,Calle,de Vicente Muzas,8,28043.0,Madrid,443951.0,4478843.0
5694,CS6495,Consulta médica,,,,,,,,,,,CS6495,,,,,,,,,,,,Calle de Florencio García 1 Y 3 28027 Madrid,Calle,de Florencio García,1 Y 3,28027.0,Madrid,445730.0,4476497.0
5695,CS6501,Consulta médica,,,,,,,CS6501,,,CS6501,,,,,,,,,,,,,Calle de Juan Esplandiu 1 28007 Madrid,Calle,de Juan Esplandiu,1,28007.0,Madrid,443461.0,4474064.0
5696,CS6509,Consulta médica,,,,,,,,,,CS6509,,,,,,,,,,,,,Plaza del Callao 1 28013 Madrid,Plaza,del Callao,1,28013.0,Madrid,440094.0,4474588.0
5697,CS6513,Consulta médica,,,,,,,,,,CS6513,,,,,,,,,,,,,Calle de Nueva Caledonia 12 28035 Madrid,Calle,de Nueva Caledonia,12,28035.0,Madrid,438847.0,4479311.0
5698,CS6518,Centro Polivalente,CS6518,CS6518,,,CS6518,,,,CS6518,CS6518,,,,,CS6518,CS6518,,,,,,,Calle Río Miño 9 28981 Parla,Calle,Río Miño,9,28981.0,Parla,434360.0,4454758.0
5699,CS6519,Otros centros especializados,,,,,,,CS6519,,,CS6519,,,,,,CS6519,,,,,,,Calle de Eugenia de Montijo 90 28025 Madrid,Calle,de Eugenia de Montijo,90,28025.0,Madrid,436478.0,4470013.0
5700,CS6520,Otros centros especializados,,,,,,,CS6520,,,CS6520,,,,,,CS6520,CS6520,,,,,CS6520,Calle de Sierra Gador 68 28031 Madrid,Calle,de Sierra Gador,68,28031.0,Madrid,447200.0,4470095.0
5701,CS6521,Otros centros especializados,,,,,,,CS6521,,,CS6521,,,,,,,,,,,,CS6521,Plaza de Agustín González 1 28017 Madrid,Plaza,de Agustín González,1,28017.0,Madrid,445108.0,4475423.0
5702,CS6522,Otros centros especializados,,,,,,,CS6522,,,CS6522,,,,,,,CS6522,CS6522,,,,CS6522,Calle de las Navas de Tolosa 10 28013 Madrid,Calle,de las Navas de Tolosa,10,28013.0,Madrid,440026.0,4474531.0
5703,CS6523,Otros centros especializados,,,,,,,CS6523,,,CS6523,,,,,,,CS6523,,,,,CS6523,Calle de Juan Clemente Núñez 3 28043 Madrid,Calle,de Juan Clemente Núñez,3,28043.0,Madrid,446841.0,4479243.0
5704,CS6525,Otros centros especializados,,,,,,,CS6525,,,CS6525,,,,,,,CS6525,CS6525,,,,CS6525,Calle de Calahorra 11 28032 Madrid,Calle,de Calahorra,11,28032.0,Madrid,448028.0,4473144.0
5705,CS6528,Centro Polivalente,,,,CS6528,,,,,,,,,,,,,,,,,,,Calle de Porto Cristo 3 28924 Alcorcón,Calle,de Porto Cristo,3,28924.0,Alcorcón,430423.0,4467214.0
5706,CS6533,Consulta de otros profesionales sanitarios,,,,,,,CS6533,,CS6533,,,,,,,,,,,,,,Paseo de Santa María de la Cabeza 141 28026 Madrid,Paseo,de Santa María de la Cabeza,141,28026.0,Madrid,439425.0,4471082.0
5707,CS6542,Consulta de otros profesionales sanitarios,,,,,,,,,CS6542,,,,,,,,,,,,,,Calle San José 14 28923 Alcorcón,Calle,San José,14,28923.0,Alcorcón,429951.0,4466927.0
5708,CS6545,Centro Polivalente,CS6545,CS6545,,,CS6545,CS6545,CS6545,,CS6545,CS6545,CS6545,CS6545,,,CS6545,CS6545,,CS6545,CS6545,,,,Calle Gálvez 4 28902 Getafe,Calle,Gálvez,4,28902.0,Getafe,438143.0,4462338.0
5709,CS6546,Centro Polivalente,,,,,,,CS6546,,CS6546,CS6546,,,,,,,,,,,,,Avda de las Águilas 2.0 28044 Madrid,Avda,de las Águilas,2.0,28044.0,Madrid,435127.0,4470766.0
5710,CS6548,Consulta médica,,,,,,,,,,CS6548,,,,,,,,,,,,,Calle de Santo Domingo 11 28921 Alcorcón,Calle,de Santo Domingo,11,28921.0,Alcorcón,429997.0,4466317.0
