Column,centro_nro_registro,centro_tipo,alergologia,cardiologia,cirugia_mayor_ambulatoria,cirugia_menor_ambulatoria,dermatologia,endocrinologia,enfermeria,farmacia,fisioterapia,medicina_general,neumologia,neurologia,nutricion_y_dietetica,oncologia,otorrinolaringologia,pediatria,psicologia_clinica,psiquiatria,rehabilitacion,urgencias,vacunacion,direccion_completa,direccion_vial_tipo,direccion_vial_nombre,direccion_vial_nro,direccion_codigo_postal,municipio_nombre,localizacion_coordenada_x,localizacion_coordenada_y
6610,CS9523,Centro de salud,,,,,,,enfermeria,,,medicinageneral,,,,,,pediatria,,,,,vacunacion,Calle Océano Pacífico 3 28821 Coslada,Calle,Océano Pacífico,3,28821,Coslada,451865,"4474467"
6611,CS9527,Consulta de otros profesionales sanitarios,,,,,,,,,fisioterapia,,,,,,,,,,,,,Calle de Lérida 54 28020 Madrid,Calle,de Lérida,54,28020,Madrid,440638,"4478578"
6612,CS9534,Consulta de otros profesionales sanitarios,,,,,,,,,fisioterapia,,,,,,,,,,,,,Calle de Atenas 6 28030 Madrid,Calle,de Atenas,6,28030,Madrid,446768,"4472714"
6613,CS9535,Centro de salud,,,,,,,enfermeria,,fisioterapia,medicinageneral,,,,,,pediatria,,,,,vacunacion,Calle de los Escolares 1 28923 Alcorcón,Calle,de los Escolares,1,28923,Alcorcón,430299,"4465952"
6615,CS9545,Consulta de otros profesionales sanitarios,,,,,,,,,fisioterapia,,,,,,,,,,,,,Calle de Narváez 24 28009 Madrid,Calle,de Narváez,24,28009,Madrid,442636,"4474815"
6616,CS9546,Consulta de otros profesionales sanitarios,,,,,,,,,fisioterapia,,,,,,,,,,,,,"Calle Estación 22 28230 Rozas de Madrid, Las",Calle,Estación,22,28230,"Rozas de Madrid, Las",426310,"4483060"
6618,CS9552,Centro de salud,,,,cirugiamenorambulatoria,,,enfermeria,,,medicinageneral,,,,,,pediatria,,,,urgencias,vacunacion,Calle de la Jabonería 67 28921 Alcorcón,Calle,de la Jabonería,67,28921,Alcorcón,430173,"4466893"
6619,CS9554,Consulta médica,,,,,,,,,,medicinageneral,,,,,,,,,,,,Calle de Velázquez 115 28006 Madrid,Calle,de Velázquez,115,28006,Madrid,442038,"4476471"
6620,CS9556,Consulta de otros profesionales sanitarios,,,,,,,,,fisioterapia,,,,,,,,,,,,,Calle San Quintín 4 28200 San Lorenzo de El Escorial,Calle,San Quintín,4,28200,San Lorenzo de El Escorial,402824,"4494114"
6621,CS9558,Centro de salud,,,,,,,enfermeria,,fisioterapia,medicinageneral,,,,,,pediatria,,,,,vacunacion,Calle de las Palmeras 3 28922 Alcorcón,Calle,de las Palmeras,3,28922,Alcorcón,429055,"4465950"
6622,CS9563,Consulta de otros profesionales sanitarios,,,,,,,,,fisioterapia,,,,,,,,,,,,,Calle Honorio Lozano 51 28400 Collado Villalba,Calle,Honorio Lozano,51,28400,Collado Villalba,415327,"4498110"
6623,CS9568,Consulta de otros profesionales sanitarios,,,,,,,,,fisioterapia,,,,,,,,,,,,,Calle de Ibiza 74 28009 Madrid,Calle,de Ibiza,74,28009,Madrid,443187,"4474344"
6624,CS9569,Consulta de otros profesionales sanitarios,,,,,,,,,fisioterapia,,,,,,,,,,,,,Calle de José Ortega y Gasset 67 28006 Madrid,Calle,de José Ortega y Gasset,67,28006,Madrid,442838,"4475703"
6625,CS9575,Centro de salud,,,,,,,enfermeria,,,medicinageneral,,,,,,pediatria,,,,urgencias,vacunacion,Plaza las Fraguas 8 28921 Alcorcón,Plaza,las Fraguas,8,28921,Alcorcón,429590,"4466733"
6626,CS9576,Centro Polivalente,alergologia,,,,,,enfermeria,,fisioterapia,medicinageneral,,,,,,,,psiquiatria,rehabilitacion,,,Calle de Viriato 29 28010 Madrid,Calle,de Viriato,29,28010,Madrid,440527,"4476386"
6627,CS9578,Centro Polivalente,,,,,,,,,fisioterapia,,,,,,,,,,,,,Calle del Real 70 28700 San Sebastián de los Reyes,Calle,del Real,70,28700,San Sebastián de los Reyes,447094,"4488746"
6628,CS9582,Centro Polivalente,,,,,,,enfermeria,,,,,,,,,,,,,,,Calle de Antonio Rodríguez Villa 12 28002 Madrid,Calle,de Antonio Rodríguez Villa,12,28002,Madrid,442219,"4477226"
6629,CS9583,Centro de salud,,,,,,,enfermeria,,fisioterapia,medicinageneral,,,,,,pediatria,psicologiaclinica,,,,vacunacion,Calle el Calvario 1 28971 Griñón,Calle,el Calvario,1,28971,Griñón,427539,"4451994"
6631,CS9590,Consulta de otros profesionales sanitarios,,,,,,,,,fisioterapia,,,,,,,,,,,,,Calle de Extremadura 104 28011 Madrid,Calle,de Extremadura,104,28011,Madrid,437781,"4473755"
6632,CS9595,Centro de salud,,,,,,,enfermeria,,fisioterapia,medicinageneral,,,,,,pediatria,,,,,vacunacion,Avda Príncipe de Asturias 173 28670 Villaviciosa de Odón,Avda,Príncipe de Asturias,173,28670,Villaviciosa de Odón,422776,"4467809"
6633,CS9597,Otros proveedores de asistencia sanitaria sin internamiento,,,,,,,,,fisioterapia,,,,,,,,,,,,,Calle de las Eras 3 28240 Hoyo de Manzanares,Calle,de las Eras,3,28240,Hoyo de Manzanares,423304,"4497310"
6634,CS9598,Centro de diagnóstico,,,,,,,enfermeria,,,,,,,,,,,,,,,Plaza de Fonsagrada 1 28029 Madrid,Plaza,de Fonsagrada,1,28029,Madrid,439998,"4481078"
6635,CS9607,Servicio sanitario integrado en una organización no sanitaria,,,,,,,,,,,,,,,,,,psiquiatria,,,,Calle de Albendiego 7 28029 Madrid,Calle,de Albendiego,7,28029,Madrid,440911,"4479906"
6636,CS9612,Centro Polivalente,alergologia,cardiologia,,,dermatologia,endocrinologia,enfermeria,,,medicinageneral,,neurologia,,,otorrinolaringologia,pediatria,,psiquiatria,,,,"Calle Camilo José Cela 7 28232 Rozas de Madrid, Las",Calle,Camilo José Cela,7,28232,"Rozas de Madrid, Las",424113,"4486019"
6637,CS9613,Consulta de otros profesionales sanitarios,,,,,,,,,,,,,,,,,psicologiaclinica,,,,,Calle de Juan de Austria 10 28010 Madrid,Calle,de Juan de Austria,10,28010,Madrid,440693,"4475998"
6638,CS9615,Consulta de otros profesionales sanitarios,,,,,,,,,fisioterapia,,,,,,,,,,,,,Calle de Leopoldo Gimeno 12 28703 San Sebastián de los Reyes,Calle,de Leopoldo Gimeno,12,28703,San Sebastián de los Reyes,447212,"4488762"
6640,CS9617,Consulta de otros profesionales sanitarios,,,,,,,,,,,,,,,,,psicologiaclinica,,,,,Plaza de Panticosa 5 28941 Fuenlabrada,Plaza,de Panticosa,5,28941,Fuenlabrada,432436,"4460901"
6641,CS9622,Consulta médica,,,,,,,,,,,,,,,,,,psiquiatria,,,,Avda de la Victoria 70 28023 Madrid,Avda,de la Victoria,70,28023,Madrid,430001,"4480366"
6642,CS9626,Centro de salud,,,,cirugiamenorambulatoria,,,enfermeria,,fisioterapia,medicinageneral,,,,,,pediatria,,,,,vacunacion,Calle Coronel de Palma 1 28934 Móstoles,Calle,Coronel de Palma,1,28934,Móstoles,425931,"4463506"
6643,CS9627,Centro de salud,,,,,,,enfermeria,,,medicinageneral,,,,,,pediatria,,,,urgencias,vacunacion,Calle de la Independencia 8 28931 Móstoles,Calle,de la Independencia,8,28931,Móstoles,426743,"4463968"
6644,CS9628,Centro de salud,,,,,,,enfermeria,,,medicinageneral,,,,,,pediatria,,,,urgencias,vacunacion,Calle Nueva York 16 28938 Móstoles,Calle,Nueva York,16,28938,Móstoles,427181,"4463250"
6645,CS9632,Centro de salud,,,,,,,enfermeria,,,medicinageneral,,,,,,pediatria,,,,,,Calle DE ALONSO CANO 8 28933 Móstoles,Calle,DE ALONSO CANO,8,28933,Móstoles,426060,"4465129"
6646,CS9633,Centro de salud,,,,cirugiamenorambulatoria,,,enfermeria,,,medicinageneral,,,,,,pediatria,,,,,vacunacion,Avda de Felipe II 10 28936 Móstoles,Avda,de Felipe II,10,28936,Móstoles,427476,"4463708"
6647,CS9634,Centro de salud,,,,cirugiamenorambulatoria,,,enfermeria,,,medicinageneral,,,,,,pediatria,,,,urgencias,vacunacion,Calle Barcelona 31 28937 Móstoles,Calle,Barcelona,31,28937,Móstoles,427457,"4464260"
6648,CS9635,Centro de salud,,,,,,,enfermeria,,,medicinageneral,,,,,,pediatria,,,,,vacunacion,Avda de los Sauces 57 28935 Móstoles,Avda,de los Sauces,57,28935,Móstoles,420770,"4462533"
6649,CS9643,Centro de salud,,,,,,,enfermeria,,,medicinageneral,,,,,,pediatria,,,,,vacunacion,Avda Madrid 76 28695 Navas del Rey,Avda,Madrid,76,28695,Navas del Rey,393670,"4471025"
6650,CS9651,Consulta de otros profesionales sanitarios,,,,,,,,,fisioterapia,,,,,,,,,,,,,Calle de Velayos 12 28035 Madrid,Calle,de Velayos,12,28035,Madrid,438453,"4479730"
6651,CS9653,Consulta médica,,,,,,,,,fisioterapia,medicinageneral,,,,,,,,,,,,Calle de Arroyofresno 17 28035 Madrid,Calle,de Arroyofresno,17,28035,Madrid,437043,"4480761"
6652,CS9655,Centro de salud,,,,,,,enfermeria,,fisioterapia,medicinageneral,,,,,,pediatria,,,,,vacunacion,Cra de San Jerónimo 32 28014 Madrid,Cra,de San Jerónimo,32,28014,Madrid,440696,"4474215"
6653,CS9656,Centro de salud,,,,,,,enfermeria,,fisioterapia,medicinageneral,,,,,,pediatria,psicologiaclinica,,,,vacunacion,Calle Teruel 4 28941 Fuenlabrada,Calle,Teruel,4,28941,Fuenlabrada,432336,"4460705"
6654,CS9664,Centro de salud,,,,,,,enfermeria,,fisioterapia,medicinageneral,,,,,,pediatria,,,,,vacunacion,Avda de Carmen Martín Gaite 16 28919 Leganés,Avda,de Carmen Martín Gaite,16,28919,Leganés,436566,"4466357"
6655,CS9665,Centro de salud,,,,,,,enfermeria,,fisioterapia,medicinageneral,,,,,,pediatria,,,,,vacunacion,Calle de la Alegría 2 28942 Fuenlabrada,Calle,de la Alegría,2,28942,Fuenlabrada,428677,"4461022"
6656,CS9666,Consulta de otros profesionales sanitarios,,,,,,,,,fisioterapia,,,,,,,,,,,,,Calle Madrid 29 28912 Leganés,Calle,Madrid,29,28912,Leganés,435132,"4464781"
6657,CS9669,Servicio sanitario integrado en una organización no sanitaria,,,,,,,,,fisioterapia,,,,,,,,,,,,,Calle Real de Arganda 42 28031 Madrid,Calle,Real de Arganda,42,28031,Madrid,447570,"4470047"
6659,CS9671,Otros proveedores de asistencia sanitaria sin internamiento,,,,,,,,,fisioterapia,,,,,,,,,,,,,Avda España 80 28220 Majadahonda,Avda,España,80,28220,Majadahonda,426538,"4479330"
6660,CS9672,Centro Polivalente,,,,,,,,,fisioterapia,,,,,,,pediatria,,,,,vacunacion,Calle de Edgar Neville 30 28020 Madrid,Calle,de Edgar Neville,30,28020,Madrid,440946,"4478119"
6661,CS9674,Consulta de otros profesionales sanitarios,,,,,,,,,fisioterapia,,,,,,,,,,,,,Calle del Doctor Esquerdo 98 28007 Madrid,Calle,del Doctor Esquerdo,98,28007,Madrid,443140,"4473570"
6662,CS9675,Consulta de otros profesionales sanitarios,,,,,,,,,fisioterapia,,,,,,,,,,,,,Calle Belén 8 28980 Parla,Calle,Belén,8,28980,Parla,434040,"4454642"
6663,CS9681,Consulta de otros profesionales sanitarios,,,,,,,,,fisioterapia,,,,,,,,,,,,,Calle PAU Arroyo del Fresno 5 28035 Madrid,Calle,PAU Arroyo del Fresno,5,28035,Madrid,437629,"4481781"
6664,CS9687,Consultorio de atención primaria,,,,,,,enfermeria,,,medicinageneral,,,,,,,,,,,,Avda de la Libertad 21 28610 Villamanta,Avda,de la Libertad,21,28610,Villamanta,405673,"4461234"
6665,CS9688,Consultorio de atención primaria,,,,,,,enfermeria,,,medicinageneral,,,,,,pediatria,,,,,vacunacion,Calle San Rafael 17 28620 Aldea del Fresno,Calle,San Rafael,17,28620,Aldea del Fresno,398119,"4464010"
6667,CS9691,Otros centros especializados,,,,,,,enfermeria,,fisioterapia,medicinageneral,,,,,,,,,,,,Calle de Julián Camarillo 25 28037 Madrid,Calle,de Julián Camarillo,25,28037,Madrid,446584,"4476166"
6668,CS9696,Servicio sanitario integrado en una organización no sanitaria,,,,,,,,,fisioterapia,,,,,,,,,,,,,Calle de Sierra Morena 31 28031 Madrid,Calle,de Sierra Morena,31,28031,Madrid,447055,"4469911"
6669,CS9698,Consulta de otros profesionales sanitarios,,,,,,,,,fisioterapia,,,,,,,,,,,,,Paseo de las Delicias 75 28045 Madrid,Paseo,de las Delicias,75,28045,Madrid,441092,"4472073"
6671,CS9702,Consulta médica,,,,,,,,,,medicinageneral,,,,,,,,,,,,Calle de Joaquín María López 60 28015 Madrid,Calle,de Joaquín María López,60,28015,Madrid,439269,"4476607"
6672,CS9705,Consultorio de atención primaria,,,,,,,enfermeria,,,medicinageneral,,,,,,pediatria,,,,,vacunacion,"Calle de Federico García Lorca 31 28607 Álamo, El",Calle,de Federico García Lorca,31,28607,"Álamo, El",415892,"4454068"
6673,CS9706,Consulta de otros profesionales sanitarios,,,,,,,,,fisioterapia,,,,,,,,,,,,,Calle MARGARITA XIRGU 2 28903 Getafe,Calle,MARGARITA XIRGU,2,28903,Getafe,438384,"4463456"
6674,CS9707,Consulta de otros profesionales sanitarios,,,,,,,,,fisioterapia,,,,,,,,,,,,,Calle Miguel Ángel 9 28932 Móstoles,Calle,Miguel Ángel,9,28932,Móstoles,426521,"4464943"
6675,CS9711,Consultorio de atención primaria,,,,,,,enfermeria,,,medicinageneral,,,,,,,,,,,vacunacion,Calle General Yagüe 7 28609 Villamantilla,Calle,General Yagüe,7,28609,Villamantilla,403900,"4465643"
6676,CS9712,Centro de salud,,,,,,,enfermeria,,,medicinageneral,,,,,,pediatria,,,,,vacunacion,Paseo del Quince de Mayo 10 28019 Madrid,Paseo,del Quince de Mayo,10,28019,Madrid,439079,"4472156"
6677,CS9715,Consulta de otros profesionales sanitarios,,,,,,,,,fisioterapia,,,,,,,,,,,,,Trva del Tolón 5 28792 Miraflores de la Sierra,Trva,del Tolón,5,28792,Miraflores de la Sierra,435401,"4518123"
6678,CS9717,Otros centros especializados,,,,,,,enfermeria,,fisioterapia,medicinageneral,,,,,,,,,,,,Avda de la Reguera 5 28936 Móstoles,Avda,de la Reguera,5,28936,Móstoles,428086,"4462655"
6679,CS9719,Centro de reconocimiento,,,,,,,,,,medicinageneral,,,,,,,,,,,,Gta del Valle de Oro 2 28019 Madrid,Gta,del Valle de Oro,2,28019,Madrid,437961,"4471150"
6681,CS9726,Centro Polivalente,,,,,,,enfermeria,,fisioterapia,medicinageneral,,,nutricionydietectica,,,,,,,,,Avda DEL TALGO 202 28023 Madrid,Avda,DEL TALGO,202,28023,Madrid,433462,"4477811"
6682,CS9731,Consultorio de atención primaria,,,,,,,enfermeria,,,medicinageneral,,,,,,pediatria,,,,,vacunacion,Calle de la Plaza de los Caños 15 28650 Cenicientos,Calle,de la Plaza de los Caños,15,28650,Cenicientos,374946,"4458215"
6683,CS9733,Consulta de otros profesionales sanitarios,,,,,,,,,fisioterapia,,,,,,,,,,,,,Calle de Antillón 30 28011 Madrid,Calle,de Antillón,30,28011,Madrid,438239,"4473596"
6684,CS9739,Consultorio de atención primaria,,,,,,,enfermeria,,,medicinageneral,,,,,,pediatria,,,,,vacunacion,Calle de Antonio Machado 41 28649 Rozas de Puerto Real,Calle,de Antonio Machado,41,28649,Rozas de Puerto Real,373220,"4463255"
6685,CS9742,Otros centros especializados,,,,,,endocrinologia,,,fisioterapia,,,,,,,,,,,,,Paseo de la Castellana 35 28046 Madrid,Paseo,de la Castellana,35,28046,Madrid,441538,"4476121"
6686,CS9743,Consulta médica,,,,,,,enfermeria,,,,,,,,,,,,,,,Calle de Cervantes 21 28014 Madrid,Calle,de Cervantes,21,28014,Madrid,440938,"4473987"
6687,CS9746,Centro Polivalente,alergologia,cardiologia,,cirugiamenorambulatoria,dermatologia,endocrinologia,enfermeria,,fisioterapia,medicinageneral,,,,,otorrinolaringologia,,,psiquiatria,,,,Ctra Daganzo 6 28864 Ajalvir,Ctra,Daganzo,6,28864,Ajalvir,459326,"4486844"
6688,CS9748,Consultorio de atención primaria,,,,cirugiamenorambulatoria,,,enfermeria,,,medicinageneral,,,,,,pediatria,,,,,vacunacion,Avda Doctor Arquitecto García Benito 1 28696 Pelayos de la Presa,Avda,Doctor Arquitecto García Benito,1,28696,Pelayos de la Presa,387225,"4468860"
6689,CS9754,Consultorio de atención primaria,,,,,,,enfermeria,,,medicinageneral,,,,,,pediatria,,,,,vacunacion,Calle Real 7 28213 Colmenar del Arroyo,Calle,Real,7,28213,Colmenar del Arroyo,398329,"4475011"
6690,CS9757,Consulta de otros profesionales sanitarios,,,,,,,,,fisioterapia,,,,,,,,,,,,,Calle BAHIA DE ALMERIA 5 28042 Madrid,Calle,BAHIA DE ALMERIA,5,28042,Madrid,449911,"4479248"
6691,CS9758,Consulta médica,,,,,dermatologia,,,,,medicinageneral,,,,,,,,,,,,Calle de Rafael Calvo 13 28010 Madrid,Calle,de Rafael Calvo,13,28010,Madrid,441082,"4476166"
6693,CS9762,Otros centros especializados,,,,,,,,,,,,,,,,,psicologiaclinica,psiquiatria,,,,Calle de Francisco Silvela 104 28002 Madrid,Calle,de Francisco Silvela,104,28002,Madrid,442462,"4476682"
6694,CS9763,Otros centros especializados,,,,,,,enfermeria,,fisioterapia,medicinageneral,,,,,,,,,,,,Cmno de Leganés 55 28921 Alcorcón,Cmno,de Leganés,55,28921,Alcorcón,429822,"4466707"
6695,CS9766,Consulta de otros profesionales sanitarios,,,,,,,,,fisioterapia,,,,,,,,,,,,,Calle de El Algabeño 119 28043 Madrid,Calle,de El Algabeño,119,28043,Madrid,446939,"4478680"
6696,CS9767,Consulta de otros profesionales sanitarios,,,,,,,,,fisioterapia,,,,,,,,,,,,,Avda de Europa 10 28108 Alcobendas,Avda,de Europa,10,28108,Alcobendas,444289,"4485552"
6697,CS9770,Consulta de otros profesionales sanitarios,,,,,,,,,fisioterapia,,,,,,,,,,,,,Calle ALONSO ZAMORA VICENTE 5 28702 San Sebastián de los Reyes,Calle,ALONSO ZAMORA VICENTE,5,28702,San Sebastián de los Reyes,447985,"4490197"
6698,CS9771,Consulta de otros profesionales sanitarios,,,,,,,,,fisioterapia,,,,,,,,,,,,,Paseo de la Chopera 84 28100 Alcobendas,Paseo,de la Chopera,84,28100,Alcobendas,445575,"4488239"
6699,CS9772,Consulta médica,,,,,,,,,,,,,,,,,,,rehabilitacion,,,Calle de Monteleón 37 28010 Madrid,Calle,de Monteleón,37,28010,Madrid,440242,"4475819"
6700,CS9773,Otros centros especializados,,,,,,,,,fisioterapia,,,,,,,,,,,,,Paseo de la Castellana 203 28029 Madrid,Paseo,de la Castellana,203,28029,Madrid,441580,"4480035"
6701,CS9778,Consulta de otros profesionales sanitarios,,,,,,,,,fisioterapia,,,,,,,,,,,,,Calle de Justina de la Fuente 4 28031 Madrid,Calle,de Justina de la Fuente,4,28031,Madrid,447269,"4469605"
6702,CS9782,Centro Polivalente,,,,,dermatologia,endocrinologia,,,fisioterapia,medicinageneral,,,,,,,,,rehabilitacion,,,Calle Recaudación 4 28229 Villanueva del Pardillo,Calle,Recaudación,4,28229,Villanueva del Pardillo,418255,"4482234"
6703,CS9785,Consulta médica,,,,,,,,,,medicinageneral,,,,,,,,,,,,Calle de San Hermenegildo 23 28015 Madrid,Calle,de San Hermenegildo,23,28015,Madrid,439873,"4475535"
6704,CS9786,Centro Polivalente,,cardiologia,,,dermatologia,,enfermeria,,fisioterapia,medicinageneral,,,,,otorrinolaringologia,pediatria,psicologiaclinica,,rehabilitacion,,,Calle de Jerónimo de la Quintana 8 28010 Madrid,Calle,de Jerónimo de la Quintana,8,28010,Madrid,440240,"4475888"
6705,CS9788,Consulta de otros profesionales sanitarios,,,,,,,,,fisioterapia,,,,,,,,,,,,,Calle MARIA TUDOR 6 28050 Madrid,Calle,MARIA TUDOR,6,28050,Madrid,443952,"4482700"
6706,CS9789,Consulta de otros profesionales sanitarios,,,,,,,,,fisioterapia,,,,,,,,,,,,,Avda Odón 10 28670 Villaviciosa de Odón,Avda,Odón,10,28670,Villaviciosa de Odón,422973,"4467504"
6707,CS9790,Consulta de otros profesionales sanitarios,,,,,,,,,fisioterapia,,,,,,,,,,,,,Calle de Santa Susana 40 28033 Madrid,Calle,de Santa Susana,40,28033,Madrid,445144,"4481170"
6708,CS9791,Consulta médica,,,,,,,,,,,,,nutricionydietectica,,,,,,,,,Calle de Asura 111 28043 Madrid,Calle,de Asura,111,28043,Madrid,444436,"4478798"
6709,CS9796,Consulta de otros profesionales sanitarios,,,,,,,,,fisioterapia,,,,,,,,,,,,,Calle de los Caños del Peral 11 28013 Madrid,Calle,de los Caños del Peral,11,28013,Madrid,439903,"4474516"
6710,CS9797,Otros centros especializados,,,,,,,,,fisioterapia,,,,,,,,,,,,,Calle de Nuria 42 28034 Madrid,Calle,de Nuria,42,28034,Madrid,440053,"4482798"
6711,CS9799,Consulta de otros profesionales sanitarios,,,,,,,,,fisioterapia,,,,,,,,,,,,,"Calle de la Comunidad Castilla-La Mancha 3 28230 Rozas de Madrid, Las",Calle,de la Comunidad Castilla-La Mancha,3,28230,"Rozas de Madrid, Las",425673,"4482436"
6712,CS9804,Consulta de otros profesionales sanitarios,,,,,,,,,fisioterapia,,,,,,,,psicologiaclinica,,,,,Avda de Pablo Neruda 63 28018 Madrid,Avda,de Pablo Neruda,63,28018,Madrid,444852,"4470358"
6713,CS9806,Otros centros especializados,,,,,,,,,fisioterapia,,,,,,,,,,rehabilitacion,,,Avda Guadalajara 36 28805 Alcalá de Henares,Avda,Guadalajara,36,28805,Alcalá de Henares,469703,"4481941"
6714,CS9809,Centro de reproducción humana asistida,,,,cirugiamenorambulatoria,,,enfermeria,,,,,,,,,,,,,,,Calle del Jordán 16 28010 Madrid,Calle,del Jordán,16,28010,Madrid,440475,"4476048"
6715,CS9810,Consulta de otros profesionales sanitarios,,,,,,,,,fisioterapia,,,,,,,,,,,,,Avda de la Osa Mayor 47 28023 Madrid,Avda,de la Osa Mayor,47,28023,Madrid,433777,"4479017"
6716,CS9813,Otros proveedores de asistencia sanitaria sin internamiento,,,,,,,,,fisioterapia,,,,,,,,,,,,,Calle de La Bañeza 37 28029 Madrid,Calle,de La Bañeza,37,28029,Madrid,439355,"4480806"
6717,CS9814,Consulta de otros profesionales sanitarios,,,,,,,,,fisioterapia,,,,,,,,psicologiaclinica,,,,,Calle de Orense 9 28020 Madrid,Calle,de Orense,9,28020,Madrid,441001,"4477684"
6718,CS9817,Otros centros especializados,,,,,,,,,,,,,,,,,,psiquiatria,,,,Calle de Toledo 131 28005 Madrid,Calle,de Toledo,131,28005,Madrid,439611,"4473033"
6719,CS9819,Consulta médica,,,,,,,,,,medicinageneral,,,,,,,,,,,,Calle de Carlos Ruiz 4 28023 Madrid,Calle,de Carlos Ruiz,4,28023,Madrid,430335,"4480262"
6720,CS9822,Centro de cirugía mayor ambulatoria,,,cirugiamayoriaambulatoria,,,,enfermeria,,,,,neurologia,,,,,,,,,,Calle de Melchor Fernández Almagro 9 28029 Madrid,Calle,de Melchor Fernández Almagro,9,28029,Madrid,441011,"4480993"
6721,CS9827,Consulta de otros profesionales sanitarios,,,,,,,,,fisioterapia,,,,,,,,,,,,,Avda del General Fanjul 24 28044 Madrid,Avda,del General Fanjul,24,28044,Madrid,433968,"4470456"
6722,CS9828,Centro móvil de asistencia sanitaria,,,,,,,enfermeria,,,medicinageneral,,,,,,,,,,,,Calle de Juan Hurtado de Mendoza 4 28036 Madrid,Calle,de Juan Hurtado de Mendoza,4,28036,Madrid,441604,"4479059"
6723,CS9829,Centro de reconocimiento,,,,,,,,,,medicinageneral,,,,,,,,,,,,Avda de América 6 28028 Madrid,Avda,de América,6,28028,Madrid,442637,"4476563"
6724,CS9834,Consultorio de atención primaria,,,,,,,enfermeria,,,medicinageneral,,,,,,pediatria,,,,,,Calle de Madrid 19 28694 Chapinería,Calle,de Madrid,19,28694,Chapinería,397536,"4470593"
6725,CS9838,Otros centros especializados,,,,,,,,,,medicinageneral,,,,,,,psicologiaclinica,psiquiatria,,,,Calle de San Agustín 7 28014 Madrid,Calle,de San Agustín,7,28014,Madrid,440882,"4474027"
6726,CS9841,Centro de salud,,,,cirugiamenorambulatoria,,,enfermeria,,,medicinageneral,,,,,,pediatria,,,,,vacunacion,"Calle Aristóteles 7 28232 Rozas de Madrid, Las",Calle,Aristóteles,7,28232,"Rozas de Madrid, Las",422039,"4485395"
6727,CS9845,Consulta de otros profesionales sanitarios,,,,,,,,,fisioterapia,,,,,,,,,,,,,Calle Norias 3 28220 Majadahonda,Calle,Norias,3,28220,Majadahonda,426155,"4480464"
6728,CS9846,Consulta de otros profesionales sanitarios,,,,,,,,,fisioterapia,,,,,,,,,,,,,Calle Priorato 87 28915 Leganés,Calle,Priorato,87,28915,Leganés,436431,"4465408"
6731,CS9852,Consulta de otros profesionales sanitarios,,,,,,,,,fisioterapia,,,,,,,,,,,,,Avda DE LA GAVIA 70 28031 Madrid,Avda,DE LA GAVIA,70,28031,Madrid,447576,"4468731"
6732,CS9855,Consultorio de atención primaria,,,,,,,enfermeria,,,medicinageneral,,,,,,,,,,,vacunacion,Calle de la Ronda 6 28812 Pezuela de las Torres,Calle,de la Ronda,6,28812,Pezuela de las Torres,484802,"4474330"
6735,CS9863,Consultorio de atención primaria,,,,,,,enfermeria,,,medicinageneral,,,,,,,,,,,,Calle Carretas 16 28609 Villanueva de Perales,Calle,Carretas,16,28609,Villanueva de Perales,406313,"4466775"
6736,CS9868,Consulta de otros profesionales sanitarios,,,,,,,,,fisioterapia,,,,,,,,,,,,,Paseo de la Ermita 6 28023 Madrid,Paseo,de la Ermita,6,28023,Madrid,433813,"4479054"
6737,CS9874,Otros proveedores de asistencia sanitaria sin internamiento,,,,,,,,,fisioterapia,,,,,,,,,,rehabilitacion,,,Avda Dos de Mayo 13 28918 Leganés,Avda,Dos de Mayo,13,28918,Leganés,435267,"4465245"
6738,CS9877,Consultorio de atención primaria,,,,,,,enfermeria,,,medicinageneral,,,,,,pediatria,,,,urgencias,vacunacion,Calle de la Clínica 4 28530 Morata de Tajuña,Calle,de la Clínica,4,28530,Morata de Tajuña,463113,"4453395"
6739,CS9878,Centro de salud,,,,cirugiamenorambulatoria,,,enfermeria,,fisioterapia,medicinageneral,,,,,,pediatria,,,,,vacunacion,Calle San Bernardo 13 28917 Leganés,Calle,San Bernardo,13,28917,Leganés,433863,"4468077"
6740,CS9884,Consulta de otros profesionales sanitarios,,,,,,,,,,,,,,,,,psicologiaclinica,,,,,Calle de San Vicente Ferrer 16 28004 Madrid,Calle,de San Vicente Ferrer,16,28004,Madrid,440380,"4475247"
6741,CS9886,Consulta de otros profesionales sanitarios,,,,,,,,,fisioterapia,,,,,,,,,,,,,Calle ROSA DE LUXEMBURGO 6 28903 Getafe,Calle,ROSA DE LUXEMBURGO,6,28903,Getafe,439032,"4464135"
6742,CS9887,Consulta médica,,,,,,,,,,medicinageneral,,,,,,,,,,,,Calle de Fernando el Santo 4 28010 Madrid,Calle,de Fernando el Santo,4,28010,Madrid,441074,"4475512"
6743,CS9888,Consulta de otros profesionales sanitarios,,,,,,,,,fisioterapia,,,,,,,,,,,,,Calle del Duque de Sesto 3 28009 Madrid,Calle,del Duque de Sesto,3,28009,Madrid,442451,"4474897"
6744,CS9890,Centro Polivalente,,,,,,,,,fisioterapia,medicinageneral,,,,,,,,,,,,Calle Jeromín 23 28911 Leganés,Calle,Jeromín,23,28911,Leganés,435131,"4464467"
